ticker,exchange_symbol,company,sector,industry,market,currency,financial_currency,price_major,shares_outstanding,market_cap_local,market_cap_usd,ttm_revenue,ttm_ebitda,ttm_fcf,ttm_fcf_usd,ttm_source,normalized_fcf_margin,normalized_margin_observations,forward_growth,revenue_cagr,latest_yoy_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,total_debt_usd,cash_usd,enterprise_value_usd,enterprise_value_calculated_usd,enterprise_value_provider_usd,enterprise_value_source,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,raw_weight,target_weight,annual_periods,latest_annual_period_end,eligible,exclusion_reasons,data_quality_flags
UNI.AX,UNI,Universal Store Holdings Limited,Consumer Cyclical,Apparel Retail,AU,AUD,AUD,7.09,76720000,543950528,387843502.4,376142016,71916000,66519624,47429320.54,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.1768470981,1,0.127422104,0.1266008479,0.1286539881,424070823.1,74995694.45,70757659.22,50451092.45,57212832.55,16628876.52,522909452.1,522909452.1,428427487,calculated,0.09648150792,0.1218138547,0.05208274953,,0.0001224754779,-0.2664202888,,-0.1331489066,44,134,35.65066271,0.02944057234,4,2026-06-30,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
UNT.AX,UNT,Unith Ltd,Technology,Software - Application,AU,AUD,AUD,0.006,1792027927,10752168,7666429.723,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:7666430,
UOS.AX,UOS,United Overseas Australia Ltd,Real Estate,Real Estate - Development,AU,AUD,AUD,0.67,1752738481,1174334720,837315283.9,280110016,186194000,150139872,107051599,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.5360032252,1,0.2651126648,0.2060857606,0.3536530211,354370728.8,189943853.6,170041862.8,121241966.4,188306589.9,550626008.9,1191045042,1191045042,1199975551,calculated,0.1017946107,0.1959710476,0.2376633702,,0.3595080879,0.2547908696,,0.3071494788,40,77,50.38204323,0.03,4,2025-12-31,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
USC.AX,USC,US1 Critical Minerals Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.026,1013859383,26360344,18795253.64,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:18795254,
USL.AX,USL,Unico Silver Limited,Basic Materials,Silver,AU,AUD,AUD,0.78,642306714,500999200,357218670.5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-06-30,false,insufficient_annual_history:0,
USM.AX,USM,Union Star Metals Ltd,Basic Materials,Gold,AU,AUD,AUD,0.009,575485087,5179365,3692951.764,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:3692952,
VAL.AX,VAL,Valiant Gold Limited,Basic Materials,Gold,AU,AUD,AUD,0.26,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,market_cap_unavailable,
VAN.AX,VAN,Vantage Metals Limited,Basic Materials,Other Precious Metals & Mining,AU,AUD,AUD,0.03,373945524,11218366,7998834.704,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:7998835,
VAU.AX,VAU,Vault Minerals Limited,Basic Materials,Gold,AU,AUD,AUD,6.12,1034565895,6331543040,4514469059,1926606976,952182016,415562496,296301236.3,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.2156965594,1,0.3,1.278373419,2.107420621,2504589069,540231244.8,477896870.4,340746421.7,53010337.13,588794278.7,3978672996,3978672996,3978673213,calculated,0.08564323382,0.7008860395,1.013419897,,2.806461331,2.433536455,,2.619998893,55,3,,,4,2026-06-30,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
VBC.AX,VBC,Verbrec Limited,Industrials,Engineering & Construction,AU,AUD,AUD,0.195,306481363,59763868,42612382.36,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:42612382,
VBS.AX,VBS,Vectus Biosystems Limited,Healthcare,Biotechnology,AU,AUD,AUD,0.12,62183051,7461966,5320474.711,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5320475,
VBX.AX,VBX,VBX Limited,Basic Materials,Aluminum,AU,AUD,AUD,0.71,83255375,59111316,42147104.65,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:42147105,
VCX.AX,VCX,Vicinity Centres,Real Estate,REIT - Retail,AU,,AUD,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,excluded_industry:reit,
VEA.AX,VEA,Viva Energy Group Limited,Energy,Oil & Gas Refining & Marketing,AU,AUD,AUD,3.05,1642520936,5009689088,3571970725,3.00610007e+10,1483000064,536137504,382272719,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.01783498524,1,-0.004077103431,0.02774714195,-0.0518134715,2.993843889e+10,533951615.9,535044560,381493436.3,4176898274,121568623.9,8644840452,8644840452,7366070955,calculated,0.04412960984,0.0402818156,-0.4712133228,,-0.3950036166,-1.736119824,,-1.06556172,137,251,,,4,2025-12-31,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
VEE.AX,VEE,VEEM Ltd,Industrials,Aerospace & Defense,AU,AUD,AUD,0.495,146749372,72640944,51793897.95,58491296,2762635,3909747,2787698.314,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.06684322741,1,0.2724052823,0.2189412745,0.3526012938,74424634,4974782.735,4442264.868,3167390.187,6461486.442,,63166218.48,,63166218.48,provider,0.05014373606,0.2033103616,0.4238351414,,0.3950763686,0.7776622996,,0.5863693341,120,45,,,3,2024-06-30,true,,stale_statements:807d|annual_history_below_preferred:3|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|cash_unavailable|ev_from_provider_fallback
VEN.AX,VEN,Vintage Energy Limited,Energy,Oil & Gas E&P,AU,AUD,AUD,0.001,2440335788,2440336,1739989.967,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:1739990,
VFX.AX,VFX,Visionflex Group Limited,Healthcare,Health Information Services,AU,AUD,AUD,0.04,86643492,3465739,2471115.079,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:2471115,
VFY.AX,VFY,Vitrafy Life Sciences Limited,Technology,Software - Infrastructure,AU,AUD,AUD,3.38,76240611,257693264,183738507.3,208997,-16725705,-10836232,-7726368.402,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2026-06-30,false,ttm_ebitda_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
