yahoo_symbol,exchange_symbol,name,stage,reasons
CMD.AX,CMD,Cassius Mining Limited,market_cap,below_min_market_cap:10602154
CMG.AX,CMG,Critical Minerals Group Limited,market_cap,below_min_market_cap:6115052
CML.AX,CML,Connected Minerals Limited,market_cap,below_min_market_cap:41674104
CMO.AX,CMO,Cosmo Metals Limited,market_cap,below_min_market_cap:2813020
CMP.AX,CMP,Compumedics Limited,market_cap,below_min_market_cap:39168971
CMW.AX,CMW,Cromwell Property Group,identity,excluded_industry:reit
CMX.AX,CMX,ChemX Materials Limited,market_cap,below_min_market_cap:23918576
CNB.AX,CNB,Carnaby Resources Limited,financial_data,insufficient_annual_history:0
CND.AX,CND,Condor Energy Limited,market_cap,below_min_market_cap:11086538
CNI.AX,CNI,Centuria Capital Group,identity,excluded_industry:reit
CNJ.AX,CNJ,Conico Ltd,market_cap,below_min_market_cap:4648748
CNQ.AX,CNQ,Clean TeQ Water Limited,market_cap,below_min_market_cap:47824894
COB.AX,COB,Cobalt Blue Holdings Limited,market_cap,below_min_market_cap:29320883
COD.AX,COD,Coda Minerals Limited,market_cap,below_min_market_cap:36495329
COG.AX,COG,COG Financial Services Limited,identity,excluded_sector:Financial Services
COI.AX,COI,Comet Ridge Limited,financial_data,insufficient_annual_history:0
COS.AX,COS,COSOL Limited,market_cap,below_min_market_cap:24654453
COV.AX,COV,Cleo Diagnostics Ltd,market_cap,below_min_market_cap:31471628
COY.AX,COY,Coppermoly Limited,market_cap,below_min_market_cap:3146729
CP8.AX,CP8,Canadian Phosphate Limited,market_cap,below_min_market_cap:43602061
CPM.AX,CPM,Cooper Metals Limited,market_cap,below_min_market_cap:6887374
CPN.AX,CPN,Caspin Resources Limited,market_cap,below_min_market_cap:27552567
CPO.AX,CPO,Culpeo Minerals Limited,market_cap,below_min_market_cap:10235828
CPU.AX,CPU,Computershare Limited,identity,excluded_sector:Financial Services
CPV.AX,CPV,ClearVue Technologies Limited,market_cap,below_min_market_cap:17908296
CQT.AX,CQT,CONNEQT Health Limited,market_cap,below_min_market_cap:11841558
CR1.AX,CR1,Constellation Resources Limited,market_cap,below_min_market_cap:9935855
CR3.AX,CR3,Core Energy Minerals Ltd,market_cap,below_min_market_cap:3815348
CRB.AX,CRB,Carbine Resources Limited,market_cap,below_min_market_cap:8498151
CRD.AX,CRD,Conrad Asia Energy Ltd.,financial_data,insufficient_annual_history:1
CRI.AX,CRI,Critica Limited,market_cap,below_min_market_cap:45381050
CRN.AX,CRN,Coronado Global Resources Inc.,financial_data,ttm_ebitda_not_positive
CRR.AX,CRR,Critical Resources Limited,market_cap,below_min_market_cap:13664536
CRS.AX,CRS,Caprice Resources Limited,market_cap,below_min_market_cap:49086675
CST.AX,CST,Castile Resources Limited,market_cap,below_min_market_cap:19402913
CSX.AX,CSX,CleanSpace Holdings Limited,market_cap,below_min_market_cap:22228928
CT1.AX,CT1,Constellation Technologies Limited,market_cap,below_min_market_cap:2120832
CTD.AX,CTD,Corporate Travel Management Limited,expected_fcf,expected_fcf_not_positive
CTE.AX,CTE,Cryosite Limited,market_cap,below_min_market_cap:41066155
CTM.AX,CTM,Centaurus Metals Limited,financial_data,insufficient_annual_history:0
CTN.AX,CTN,Catalina Resources Ltd,market_cap,below_min_market_cap:7723469
CTO.AX,CTO,Citigold Corporation Limited,market_cap,below_min_market_cap:36898392
CTP.AX,CTP,Central Petroleum Limited,market_cap,below_min_market_cap:34887454
CTQ.AX,CTQ,Careteq Limited,market_cap,below_min_market_cap:7318119
CTS.AX,CTS,Ceretas Limited,market_cap,market_cap_unavailable
CTT.AX,CTT,Cettire Limited,financial_data,ttm_ebitda_not_positive
CU6.AX,CU6,Clarity Pharmaceuticals Ltd,financial_data,insufficient_annual_history:0
CUE.AX,CUE,Cue Energy Resources Limited,market_cap,market_cap_unavailable
CUF.AX,CUF,CuFe Ltd,financial_data,ttm_revenue_unavailable
CUL.AX,CUL,Cullen Resources Limited,market_cap,below_min_market_cap:2966425
CVB.AX,CVB,CurveBeam AI Limited,market_cap,below_min_market_cap:12048015
CVC.AX,CVC,CVC Limited,identity,excluded_sector:Financial Services
CVN.AX,CVN,Carnarvon Energy Limited,financial_data,insufficient_annual_history:0
CVR.AX,CVR,Cavalier Resources Ltd,market_cap,below_min_market_cap:12753042
CVV.AX,CVV,Caravel Minerals Limited,financial_data,insufficient_annual_history:0
CWP.AX,CWP,Cedar Woods Properties Limited,expected_fcf,expected_fcf_not_positive
CXL.AX,CXL,Calix Limited,market_cap,below_min_market_cap:34656341
CXO.AX,CXO,Core Lithium Ltd,financial_data,ttm_ebitda_not_positive
CXU.AX,CXU,Cauldron Energy Limited,financial_data,insufficient_annual_history:0
CXZ.AX,CXZ,Connexion Mobility Ltd,market_cap,below_min_market_cap:10439019
CY5.AX,CY5,Cygnus Metals Limited,financial_data,ttm_ebitda_not_positive
CYB.AX,CYB,AUCyber Limited,market_cap,below_min_market_cap:7649803
CYC.AX,CYC,Cyclopharm Limited,market_cap,below_min_market_cap:44825005
CYG.AX,CYG,Coventry Group Ltd,market_cap,below_min_market_cap:43628548
CYM.AX,CYM,Cyprium Metals Limited,financial_data,insufficient_annual_history:0
CYP.AX,CYP,Cynata Therapeutics Limited,market_cap,below_min_market_cap:1909446
CYQ.AX,CYQ,Cycliq Group Limited,market_cap,below_min_market_cap:1641770
CYV.AX,CYV,Ceryvyn Therapeutics Limited,market_cap,below_min_market_cap:9753854
CZN.AX,CZN,Corazon Mining Limited,market_cap,below_min_market_cap:18746679
CZR.AX,CZR,CZR Resources Ltd,market_cap,below_min_market_cap:33709329
D3E.AX,D3E,D3 Energy Limited,market_cap,below_min_market_cap:31399856
DAF.AX,DAF,Discovery Alaska Limited,market_cap,below_min_market_cap:2763205
DAI.AX,DAI,Decidr AI Industries Ltd,financial_data,ttm_ebitda_not_positive
DAL.AX,DAL,Dalaroo Metals Ltd,market_cap,below_min_market_cap:19699436
DBF.AX,DBF,Duxton Farms Limited,market_cap,below_min_market_cap:26734656
DBI.AX,DBI,Dalrymple Bay Infrastructure Limited,expected_fcf,expected_fcf_not_positive
DBO.AX,DBO,Diablo Resources Limited,market_cap,below_min_market_cap:5401084
DCC.AX,DCC,DigitalX Limited,market_cap,below_min_market_cap:29722857
DDT.AX,DDT,DataDot Technology Limited,market_cap,below_min_market_cap:3477944
DEL.AX,DEL,Delorean Corporation Limited,market_cap,below_min_market_cap:16055634
DEM.AX,DEM,De.mem Limited,market_cap,below_min_market_cap:26835382
DES.AX,DES,DeSoto Resources Limited,market_cap,below_min_market_cap:25655703
DEV.AX,DEV,DevEx Resources Limited,financial_data,insufficient_annual_history:0
DGH.AX,DGH,Desane Group Holdings Limited,market_cap,below_min_market_cap:22460387
DGR.AX,DGR,DGR Global Limited,market_cap,below_min_market_cap:26045889
DKM.AX,DKM,Duketon Mining Limited,market_cap,below_min_market_cap:9784326
DLI.AX,DLI,Delta Lithium Limited,financial_data,insufficient_annual_history:0
DLY.AX,DLY,Daly Resources Ltd,market_cap,below_min_market_cap:9083779
DM1.AX,DM1,Desert Metals Limited,market_cap,below_min_market_cap:3815351
DME.AX,DME,Dome Gold Mines Ltd,market_cap,below_min_market_cap:14969262
DOC.AX,DOC,Doctor Care Anywhere Group PLC,market_cap,below_min_market_cap:31409225
DRE.AX,DRE,Dreadnought Resources Limited,financial_data,insufficient_annual_history:0
DRO.AX,DRO,DroneShield Limited,financial_data,ttm_ebitda_not_positive
DRX.AX,DRX,Diatreme Resources Limited,market_cap,below_min_market_cap:49993541
DSK.AX,DSK,Dusk Group Limited,market_cap,below_min_market_cap:32854345
DSM.AX,DSM,Desert Minerals Limited,market_cap,below_min_market_cap:15015144
DTM.AX,DTM,Dart Mining NL,market_cap,below_min_market_cap:2859663
